Day,Campaign name,Ad set name,Ad name,Amount spent (USD),Impressions,Link clicks,Website purchases conversion value
2026-01-01,Campaign Alpha,Adset 1,Ad A,"$120.00","10,000",320,"$600.00"
2026-01-01,Campaign Beta,Adset 2,Ad B,"$80.00","7,500",210,"$300.00"
2026-01-02,Campaign Alpha,Adset 1,Ad A,"$125.00","10,500",330,"$650.00"
2026-01-02,Campaign Beta,Adset 2,Ad B,"$85.00","7,800",205,"$280.00"
2026-01-03,Campaign Alpha,Adset 1,Ad A,"$130.00","11,000",340,"$700.00"
2026-01-03,Campaign Beta,Adset 2,Ad B,"$90.00","8,000",220,"$320.00"
2026-01-04,Campaign Alpha,Adset 1,Ad A,"$135.00","11,500",350,"$720.00"
2026-01-04,Campaign Beta,Adset 2,Ad B,"$95.00","8,200",225,"$330.00"
2026-01-05,Campaign Alpha,Adset 1,Ad A,"$140.00","12,000",360,"$750.00"
2026-01-05,Campaign Beta,Adset 2,Ad B,"$100.00","8,400",230,"$340.00"
2026-01-06,Campaign Alpha,Adset 1,Ad A,"$145.00","12,500",370,"$770.00"
2026-01-06,Campaign Beta,Adset 2,Ad B,"$105.00","8,600",235,"$350.00"
2026-01-07,Campaign Alpha,Adset 1,Ad A,"$150.00","13,000",380,"$800.00"
2026-01-07,Campaign Beta,Adset 2,Ad B,"$110.00","8,800",240,"$360.00"
2026-01-08,Campaign Alpha,Adset 1,Ad A,"$155.00","13,500",390,"$820.00"
2026-01-08,Campaign Beta,Adset 2,Ad B,"$115.00","9,000",245,"$370.00"
2026-01-09,Campaign Alpha,Adset 1,Ad A,"$160.00","14,000",400,"$850.00"
2026-01-09,Campaign Beta,Adset 2,Ad B,"$120.00","9,200",250,"$380.00"
2026-01-10,Campaign Alpha,Adset 1,Ad A,"$260.00","14,500",150,"$500.00"
2026-01-10,Campaign Beta,Adset 2,Ad B,"$200.00","9,500",120,"$250.00"

